Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ESS,Essex Property Trust Inc. Common Stock,$210.65,3.08,1.484%,13520486833.00,United States,1994,333700,Real Estate,Real Estate Investment Trusts
EXR,Extra Space Storage Inc Common Stock,$119.11,1.01,0.855%,25165144153.00,United States,2004,1878071,Real Estate,Real Estate Investment Trusts
FBRT,Franklin BSP Realty Trust Inc. Common Stock,$12.85,-0.03,-0.233%,1054640363.00,United States,2021,291355,Real Estate,Real Estate Investment Trusts
FCPT,Four Corners Property Trust Inc. Common Stock,$21.87,0.04,0.183%,1980660815.00,United States,2015,378740,Real Estate,Real Estate Investment Trusts
FEDU,Four Seasons Education (Cayman) Inc. American Depositary Shares each ADS representing 10 ordinary shares,$8.70,0.10,1.163%,18477765.00,,2017,159,Real Estate,Other Consumer Services
FPI,Farmland Partners Inc. Common Stock,$11.06,0.16,1.468%,532936596.00,United States,2014,225371,Real Estate,Real Estate Investment Trusts
FR,First Industrial Realty Trust Inc. Common Stock,$43.29,0.36,0.839%,5726183581.00,United States,1994,537614,Real Estate,Real Estate Investment Trusts
FRT,Federal Realty Investment Trust Common Stock,$92.56,1.03,1.125%,7555039967.00,United States,,794890,Real Estate,Real Estate Investment Trusts
FSP,Franklin Street Properties Corp. Common Stock,$2.12,-0.03,-1.395%,219272348.00,United States,,395812,Real Estate,Real Estate Investment Trusts
GEHI,Gravitas Education Holdings Inc. American Depositary Share,$10.11,-0.14,-1.366%,28510968.00,,2017,9669,Real Estate,Other Consumer Services
GHC,Graham Holdings Company Common Stock,$613.27,7.76,1.282%,2786904939.00,United States,,11776,Real Estate,Other Consumer Services
GIPR,Generation Income Properties Inc. Common Stock,$4.0596,0.1296,3.298%,10626360.00,United States,,17595,Real Estate,Real Estate Investment Trusts
GIPRW,Generation Income Properties Inc Warrant,$0.34,0.01,3.03%,889980.00,United States,,171,Real Estate,Real Estate Investment Trusts
GLPI,Gaming and Leisure Properties Inc. Common Stock,$45.25,0.26,0.578%,12082461783.00,United States,,1308636,Real Estate,Real Estate Investment Trusts
GMRE,Global Medical REIT Inc. Common Stock,$9.25,0.17,1.872%,606475723.00,United States,2016,247954,Real Estate,Real Estate Investment Trusts
GNL,Global Net Lease Inc. Common Stock,$8.08,0.09,1.126%,1861137617.00,United States,2015,1520063,Real Estate,Real Estate Investment Trusts
GNS,Genius Group Limited Ordinary Shares,$0.5906,0.058,10.89%,30061574.00,Singapore,2022,2454082,Real Estate,Other Consumer Services
GOOD,Gladstone Commercial Corporation Real Estate Investment Trust,$11.97,0.16,1.355%,478187375.00,United States,2003,157838,Real Estate,Real Estate
GOODN,Gladstone Commercial Corporation 6.625% Series E Cumulative Redeemable Preferred Stock,$19.9998,0.3048,1.548%,798968410.00,United States,,3755,Real Estate,Real Estate Investment Trusts
GOODO,Gladstone Commercial Corporation 6.00% Series G Cumulative Redeemable Preferred Stock par value $0.001 per share,$17.84,0.14,0.791%,712686949.00,United States,,822,Real Estate,Real Estate Investment Trusts
GOTU,Gaotu Techedu Inc. American Depositary Shares,$2.42,0.04,1.681%,630345386.00,China,2019,766755,Real Estate,Other Consumer Services
GPMT,Granite Point Mortgage Trust Inc. Common Stock,$4.70,0.18,3.982%,242415853.00,United States,2017,414695,Real Estate,Real Estate Investment Trusts
GSUN,Golden Sun Education Group Limited Class A Ordinary Shares,$0.51,-0.022,-4.135%,9361300.00,China,2022,15902,Real Estate,Other Consumer Services
GYRO,Gyrodyne LLC Common Stock,$8.99,0.00,0.00%,13329293.00,United States,,2,Real Estate,Building operators
HASI,Hannon Armstrong Sustainable Infrastructure Capital Inc. Common Stock,$19.14,-0.35,-1.796%,2130191602.00,United States,2013,1092494,Real Estate,Real Estate Investment Trusts
HHH,Howard Hughes Holdings Inc. Common Stock,$70.57,0.95,1.365%,3967888086.00,United States,,189413,Real Estate,Real Estate Investment Trusts
HIW,Highwoods Properties Inc. Common Stock,$17.99,0.02,0.111%,1901421765.00,United States,1994,1083561,Real Estate,Real Estate Investment Trusts
HPP,Hudson Pacific Properties Inc. Common Stock,$5.27,-0.11,-2.045%,742741690.00,United States,2010,3809193,Real Estate,Real Estate Investment Trusts
HR,Healthcare Realty Trust Incorporated Common Stock,$14.52,0.26,1.823%,5530291613.00,United States,,2638003,Real Estate,Real Estate Investment Trusts
HST,Host Hotels & Resorts Inc. Common Stock,$16.41,0.16,0.985%,11576221367.00,United States,,5254922,Real Estate,Real Estate Investment Trusts
HT,Hersha Hospitality Trust Class A Common Shares of Beneficial Interest,$9.93,0.01,0.101%,398241816.00,United States,1999,234106,Real Estate,Real Estate Investment Trusts
HTIA,Healthcare Trust Inc. 7.375% Series A Cumulative Redeemable Perpetual Preferred Stock,$12.29,-0.51,-3.984%,1371523160.00,United States,,12324,Real Estate,Real Estate Investment Trusts
HTIBP,Healthcare Trust Inc. 7.125% Series B Cumulative Redeemable Perpetual Preferred Stock,$14.39,0.315,2.238%,1605876182.00,United States,,6020,Real Estate,Real Estate Investment Trusts
IH,iHuman Inc. American depositary shares each representing five Class A ordinary shares,$2.58,-0.0686,-2.59%,137112792.00,United States,2020,4856,Real Estate,Other Consumer Services
IIPR,Innovative Industrial Properties Inc. Common Stock,$75.80,0.67,0.892%,2125419114.00,United States,2016,171951,Real Estate,Real Estate Investment Trusts
ILPT,Industrial Logistics Properties Trust Common Shares of Beneficial Interest,$2.73,0.00,0.00%,179753637.00,United States,2018,199383,Real Estate,Real Estate Investment Trusts
INN,Summit Hotel Properties Inc. Common Stock,$5.96,0.05,0.846%,641169070.00,United States,2011,466479,Real Estate,Real Estate Investment Trusts
INTG,Intergroup Corporation (The) Common Stock,$23.60,-0.40,-1.667%,52059877.00,United States,,2974,Real Estate,Building operators
