Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ETRN,Equitrans Midstream Corporation Common Stock ,$8.69,0.04,0.462%,3765038090.00,United States,2018,3568327,Utilities,Natural Gas Distribution
EVRG,Evergy Inc. Common Stock,$49.41,0.08,0.162%,11350502603.00,United States,,1788314,Utilities,Power Generation
EXC,Exelon Corporation Common Stock,$39.43,0.18,0.459%,39250097313.00,United States,,4468518,Utilities,Power Generation
FE,FirstEnergy Corp. Common Stock,$35.30,-0.09,-0.254%,20255663252.00,United States,,2174675,Utilities,Electric Utilities: Central
FKWL,Franklin Wireless Corp. Common Stock,$2.92,-0.17,-5.502%,34410098.00,United States,,6219,Utilities,Telecommunications Equipment
FN,Fabrinet Ordinary Shares,$167.64,0.64,0.383%,6090505035.00,Cayman Islands,2010,274248,Utilities,Telecommunications Equipment
FTS,Fortis Inc. Common Shares,$40.38,-0.35,-0.859%,19725630000.00,United States,2016,789807,Utilities,Electric Utilities: Central
GFL,GFL Environmental Inc. Subordinate voting shares no par value,$28.75,0.27,0.948%,10637068261.00,,2020,721057,Utilities,Environmental Services
GNE,Genie Energy Ltd. Class B Common Stock Stock,$24.26,-0.15,-0.615%,665160462.00,United States,2011,311290,Utilities,Power Generation
GPJA,Georgia Power Company Series 2017A 5.00% Junior Subordinated Notes due October 1 2077,$22.65,0.26,1.161%,209772975.00,United States,2017,7348,Utilities,Electric Utilities: Central
GWRS,Global Water Resources Inc. Common Stock,$10.73,0.12,1.131%,259349647.00,United States,2016,16577,Utilities,Water Supply
HE,Hawaiian Electric Industries Inc. Common Stock,$11.61,-2.40,-17.131%,1272590664.00,United States,,10962070,Utilities,Electric Utilities: Central
HTOO,Fusion Fuel Green PLC Class A Ordinary Shares,$0.5186,-0.0515,-9.034%,7535258.00,Ireland,,156293,Utilities,Natural Gas Distribution
HTOOW,Fusion Fuel Green PLC Warrant,$0.07,-0.01,-12.50%,966395.00,Ireland,,4483,Utilities,Natural Gas Distribution
IDA,IDACORP Inc. Common Stock,$94.22,-0.42,-0.444%,4768967630.00,United States,,449126,Utilities,Electric Utilities: Central
INFN,Infinera Corporation Common Stock,$3.99,0.22,5.836%,905425842.00,United States,2007,4252604,Utilities,Telecommunications Equipment
JAN,JanOne Inc. Common Stock (NV),$0.5371,0.0061,1.149%,2024264.00,United States,,2236418,Utilities,Environmental Services
KEN,Kenon Holdings Ltd. Ordinary Shares,$20.62,0.05,0.243%,1111211800.00,Singapore,2015,3580,Utilities,Electric Utilities: Central
KEP,Korea Electric Power Corporation Common Stock,$6.42,-0.05,-0.773%,8242818749.00,South Korea,1994,76312,Utilities,Electric Utilities: Central
KMI,Kinder Morgan Inc. Common Stock,$16.44,0.23,1.419%,36542403459.00,United States,2011,12662599,Utilities,Natural Gas Distribution
KNTK,Kinetik Holdings Inc. Class A Common Stock,$34.55,-0.03,-0.087%,5046459721.00,United States,2022,262446,Utilities,Natural Gas Distribution
LNG,Cheniere Energy Inc. Common Stock,$171.62,0.95,0.557%,40889300103.00,United States,2001,1089482,Utilities,Oil/Gas Transmission
LNT,Alliant Energy Corporation Common Stock,$48.57,-0.04,-0.082%,12394048256.00,United States,,1716187,Utilities,Power Generation
MINM,Minim Inc. Common Stock,$0.71,-0.0531,-6.958%,33503748.00,United States,,4936,Utilities,Telecommunications Equipment
